=== Intra-Subset Train/Test Overlap ===
Subset 0: overlap(train∩test)=103, ratio=0.296
Subset 1: overlap(train∩test)=94, ratio=0.291
Subset 2: overlap(train∩test)=106, ratio=0.318
Subset 3: overlap(train∩test)=84, ratio=0.258

=== Cross-Subset Train→Test Overlap ===
(rows = train subset i, cols = test subset j)
train[0] vs test[1]: overlap=4, ratio=0.012
train[0] vs test[2]: overlap=7, ratio=0.021
train[0] vs test[3]: overlap=6, ratio=0.018
train[1] vs test[0]: overlap=8, ratio=0.023
train[1] vs test[2]: overlap=5, ratio=0.015
train[1] vs test[3]: overlap=6, ratio=0.018
train[2] vs test[0]: overlap=11, ratio=0.032
train[2] vs test[1]: overlap=2, ratio=0.006
train[2] vs test[3]: overlap=5, ratio=0.015
train[3] vs test[0]: overlap=6, ratio=0.017
train[3] vs test[1]: overlap=4, ratio=0.012
train[3] vs test[2]: overlap=4, ratio=0.012
